Chapter 1: Introduction
0:044 secondshey guys this is Lucas from better coding Academy and in this video we're bringing back part three of the manga reader series in the last episode we had a look at MongoDB and we looked at
0:1313 secondsgetting all of that set up so Patrick what do you say that we should get doing next it's been a while so I don't even
0:1919 secondsremember where we're up to from memory we have a manga in MongoDB instance yes
0:2626 secondsdo we have the MongoDB instance up in servers running at the moment so I'll get that up here so this one is the one we had before but we have it in so oh yeah right sir yarn mmm I think was dr.
0:3838 secondsstocked I have that no I don't create that I think started there okay so I like to do is I just like to have like
0:4646 secondsdocker start like what doctors start what is it whatever your mango reader
0:5252 secondsmonger yeah sweet and then just I like to do this yeonbok and start you're gonna and that should run it and then in
1:011 minute, 1 secondrobo three t connects so this one not working for some reason
38:3738 minutes, 37 secondszero oh are you sure you a runny you sure we'll look I wanna shut way I know
38:4638 minutes, 46 secondsI got rid of cron one should never okay you just wanna you see directly yeah yeah maybe no 6000 main goes right takes a long
38:5338 minutes, 53 secondstime so now Bates batch so I should I don't know what final okay let's just let's assume that it's just it's quitting earlier than it should even
39:0239 minutes, 2 secondsthough I don't understand why that would be the case I want to include my corn job so doesn't stop yeah and see what happens yeah
39:1239 minutes, 12 secondsyes I mean maybe maybe what happens is my dog feels who got rid of all of them
39:2239 minutes, 22 secondswell maybe maybe maybe maybe we should do some console logs can you just log
39:3139 minutes, 31 secondsthe first one or something yeah see that
39:4539 minutes, 45 secondsdon't tell me we get all right put my
39:5339 minutes, 53 secondsunder plain guy dot filter don't reduce well you know what I mean oh geez you know it Rob's my value cuz
40:0040 minutesyeah yeah yeah yeah okay okay good
40:0740 minutes, 7 secondsthat's most of them actually that's pretty good I'm guessing it's just like releases that uh you know they just have a title
40:1740 minutes, 17 secondsmaybe it's not really sleep maybe just like it's out of date they're like yeah yeah all day and this is English or maybe there's no English translation so
40:2540 minutes, 25 secondsthey have a title but no oh that's true I don't know it doesn't mean a matter thank you ad can well ice take a long time I mean technically we're only doing
40:3340 minutes, 33 secondsthis once a day so in seriously it doesn't matter cuz like our business no
40:3840 minutes, 38 secondsit's not even working man really can you um is there any way to tell ya can you
40:4640 minutes, 46 secondsdo a nod or take ten or something and then just insert ten the first also that should I'll take ten alone just yeah
40:5340 minutes, 53 secondssplice out ten or something what do you mean I'll take Kevin's literally just this yeah slice here all right okay let's try that
41:0641 minutes, 6 secondsI mean what sighs you have no idea if it's even working yeah because you got
41:1341 minutes, 13 secondsrid of the console.log me why it made it so that means now out in sent many
41:2041 minutes, 20 secondsfunction is wrong yeah this seems like there's no other
41:2741 minutes, 27 secondspossible reason hey you know you said
41:3441 minutes, 34 secondsmany oh all right fine let's just put in a call back and see if the call back works yeah yeah yeah just call back
41:4241 minutes, 42 secondscheck the error that surely there's an error I mean bit needy become so logging in
41:5141 minutes, 51 secondsKaren she becomes an error on an error now I'm joking yeah I mean yeah yeah I'd
42:0242 minutes, 2 secondsnow copy that from the docks I'm already ready for something red maybe it's just it's nothing that it can't be that
42:1042 minutes, 10 secondsslowly into technical oh wait wait wait wait wait wait wait I know why we don't have this line oh my gosh
42:1842 minutes, 18 secondsthis is always like that's always something so ridiculously stupid okay
42:2542 minutes, 25 secondsthere we go okay that's it right that has to be it
42:3242 minutes, 32 secondsyeah how's the way I'm gonna go back well that would that was sure you stop it you don't even know yeah like either way
42:3942 minutes, 39 secondsI'm gonna get an arrow or like yeah yeah I'm set yep all right let's try again but it should air out like what does
42:4742 minutes, 47 secondsthat give me an error waiting for a connection all right currents ever okay that's fine there we go no hey yeah
42:5742 minutes, 57 secondsdoesn't take very long Hey yes there we go okay and we have the correct object ID as well and the image that's it okay
43:0543 minutes, 5 secondswell yeah that's it yeah like the interesting thing about this is um the this is not that many records right six
43:1443 minutes, 14 secondsand a half thousand takes a table seconds so that's that look like the actually in soul than like a half a second yeah so I would actually like really challenged
43:2243 minutes, 22 secondssome people doing pre optimizations like if they have a small service and realistically they're only looking at
43:3043 minutes, 30 secondsmaybe 10 or 20,000 entries and it's like a batch job overnight like you got to really help much maintenance are you
43:3843 minutes, 38 secondsadding to try and optimize certain pipelines and things like when it doesn't really matter right just just take the extra 20 second run time yeah I
43:4843 minutes, 48 secondsthink you're right like it is this is this is kind of something I I learned the hard way because I always took like like to me it was like really cathartic
43:5543 minutes, 55 secondsalmost to like learn about how I put this like to do to like performance optimizations ahead of time like it felt good you know it feels like I was doing
44:0444 minutes, 4 secondssomething right yeah but the truth is like you might spend like four hours and you might save like literally half a second a day yeah sometimes it might even take longer like you you might like
44:1244 minutes, 12 secondsokay I'm gonna do this function this way to like memorize it but then in memorizing you actually slow it down every time I agree optimization so bad
44:1944 minutes, 19 secondsyeah and you can apply this to more like business as well like sometimes people are hired in a field like crazily complex architecture you know services
44:2744 minutes, 27 secondsand things that are completely unnecessary like psycho pain basically of engineering and basically like the entire salary goes into maintaining
44:3444 minutes, 34 secondsthese over into new patterns but I could have just picked the simpler solution and yeah it would have been fine for like even an enterprise business really
44:4344 minutes, 43 secondsyeah whatever especially because we're in Australia we don't have like millions and millions of customer base yeah a
44:5044 minutes, 50 secondspopulation is not that big and even in those cases it's like if you have a simple architecture to begin with like let the challenges come and then you architect your will evolve yeah exactly
44:5944 minutes, 59 secondsyou want to build in a way that you understand how to move it from your simple architecture to the more complicated one you're on a bottleneck trade off but you don't want to like
45:0845 minutes, 8 secondsredo the entire stack same as like a load balancing and stuff right like you might you want to have an instance that can be load balanced but realistically
45:1645 minutes, 16 secondsyou can just up the instance and you probably be a fine in Australia yeah yeah and like that's the thing is like if you really want to do load balancing chances are however you do it now it's
45:2545 minutes, 25 secondsnot going to be the optimal solution whereas like when you actually need to do it then whatever works becomes the optimal over yeah
45:3345 minutes, 33 secondsthis doesn't make any sense yeah cool we didn't do too much today but yeah we did something we have a real database not just this is this is real payer this is
45:4145 minutes, 41 secondstelling this is from this is from manga Eden into our face before it was just hard code that's it yeah that's progress
45:4745 minutes, 47 secondsprogress do this once a day this is AP food yeah play some games sleep a bit that's true that's it that's a day
45:5545 minutes, 55 secondswhenever I need a chain in the games man pretty bad okay all right well I hope you guys have enjoyed this video this has been Lucas and Patrick from Betty
46:0446 minutes, 4 secondsCody Academy and see you guys later next part see

