0:044 secondsdude it's like it's actually what I love therapy does though it's like he just he takes something like like a phone with like a 40 yeah dead battery or something
0:1313 secondsand it's like guys imagine if you were on a siberian railway like an important businessman and yeah no access to
0:2020 secondselectricity for the next foreseeable future all kind of fine would you want to be carrying what do you think about that wheel what do you know that we'd have to say
0:2929 secondsyeah I will it's like pretty yes you see you stole this what time
0:3737 secondshey stuff hey guys this is Lucas from the decoding Academy we are back on the mango reader huh nice little hobby requested that use that live so we are
0:4646 secondscoming back straight Ian I have no idea what's going on but we're gonna jump into it hello I remember we had a PWA
0:5656 secondsyes already did so we have the manga reader UWA right here you're in this thing
1:021 minute, 2 secondsyeah okay so it literally just says working this was a menace of work I said
52:1952 minutes, 19 secondsokay now let's let nice alright let's
52:2852 minutes, 28 secondsstretch it wide it's it's like so it's like tiny is it with hard-coded on the
52:3452 minutes, 34 secondsyeah what if your screen is on a mobile
52:3952 minutes, 39 secondsso it should be min with 500 but the
52:4552 minutes, 45 secondswidth should be like something no yes no
52:5652 minutes, 56 secondsit should be min with 500 so then on desktop it's this way and on my boy is at least 500 but you want that you want
53:0653 minutes, 6 secondsto with to be sperms no yeah well max with yeah you want yeah all right you
53:1453 minutes, 14 secondswant a max with yeah and then you wanna with that it's like 75% okay so let's just say that we wanted to style this now and we didn't want to do in life
53:2353 minutes, 23 secondswhat would what would you do just make a and dot less in the nd just do style is
53:2953 minutes, 29 secondsnot less in Andy yeah yeah yeah oh you can do socialist we're gonna have much anyway that's fine and then just
53:3853 minutes, 38 secondsimported and just work it in yep no let
53:5153 minutes, 51 secondsme just keep that class yeah like it's not he's not already used all right yeah
53:5753 minutes, 57 secondsyeah 70 75 or 80 V W percent it should
54:0954 minutes, 9 secondsbe feet of evening yeah it was the same thing your container needs to be the W because you don't know how wide the
54:1754 minutes, 17 secondsdevice is gonna be yeah that's fine yeah
54:2954 minutes, 29 secondswhy jump okay cool let's walk up our
54:3554 minutes, 35 secondsgraph so we get results know what our
54:4854 minutes, 48 secondsyeah okay okay do you like my room is like getting polluted by computer fumes okay it's
54:5654 minutes, 56 secondsjust like rebelling yeah no we can we can just cut
55:0755 minutes, 7 secondsthis video really short like 20 minutes and then I can just feel my bit right now it's like and then you can cut this
55:1455 minutes, 14 secondsbe at the front which is like hey thank you yeah I only got 20 minutes today so let's just do something really quickly and then put gap it at the front and
55:2355 minutes, 23 secondsthen yeah and then we just make a short video so he don't look like any of you but like in actual fact I think we would
55:3055 minutes, 30 secondshave taken roughly at the same time to do the same thing if we didn't go the library like we have to find a freaking icon we have to Center it properly we
55:3955 minutes, 39 secondshave to do the auto feel you know so it's still like a win you talk about to get less working but it still win yeah I
55:4755 minutes, 47 secondsthink it's doing with okay quota cool productive dollar thank you so much for tuning in thank you so much for
55:5655 minutes, 56 secondslistening yeah next time we'll happy done for sure
56:0656 minutes, 6 secondsyeah we tried all right guys thank you so much for listening this is Ben Lucas and Patrick with data coding Academy and see you guys later
56:1456 minutes, 14 secondssee you next time

