0:00ten nine eight seven six five four while your way of really listening
0:088 secondsyeah why you're like city to office no Eric ten nine your internet slow it's not in the end I'm at the end as well
0:1818 secondsdid it be it's gobbing room in DNS server hey guys this is Lucas from betta coding
0:2525 secondsAcademy we're back with the manga reader finally a lot of fun finally what's been busy life's been hard but we are back because we promise you this content and
0:3434 secondswe will not stop until we have to make a readability and patrick has his mega reader all done so he can use it yeah
0:4242 secondsmight be why no I'm starved of minger I know thanks to you so what's your solution just animate
0:5050 secondsyeah crunchyroll it's being it's been crap right now it's just all this like you said kind of garbage cannot relate
1:001 minutewhatever I don't know yeah alright okay so we had something which like you can do this and then you can press that and
1:081 minute, 8 secondsthen it gives us that URL button that your else doesn't do anything why is
44:0344 minutes, 3 secondsalright so we do data dot mango info description because officially
44:1144 minutes, 11 secondscondemned okay so now we do stain zero
44:1744 minutes, 17 secondsokay yeah we should probably not sure that you meet until the loading screen okay yeah that's like it's not staggered
44:2544 minutes, 25 secondsokay yeah okay
44:4344 minutes, 43 secondscan we use like yeah can we use like ant design contact code or something like they gotta have a generic contact hard
44:5044 minutes, 50 secondsno you know Todd yeah good like
44:5944 minutes, 59 secondssomething more horizontal yeah yeah hmm
45:0845 minutes, 8 secondsthey have everything except what you need what's like a badges I mean you know
45:2045 minutes, 20 secondslike some of the badge yeah avatar badge kind of stuff oh okay that's pretty cool actually but
45:2945 minutes, 29 secondswe won't need it now yeah we don't really need yeah I'll just just build it
45:4145 minutes, 41 secondsman no it's not gonna look the same the
45:5445 minutes, 54 secondswhole thing is wrong actually the court hacks all of our CSS is in one file and
46:0146 minutes, 1 secondwe're using less because it's because you're hacking the the Sun the font size we have to have some more sighs if you
46:0846 minutes, 8 secondsdon't mind this is this is look at hockey this is we have no way of
46:1746 minutes, 17 secondscustomizing the size so he took large and we made it extra large now now largest extra-large but equal no that's that's fine parameter change oh
46:2646 minutes, 26 secondsmy gosh how you meant to change this very bad no that's how I know but yeah
46:3546 minutes, 35 secondsokay screw it I'm building it still taking out two seconds to build man it's not gonna look pretty man now whatever I
46:4346 minutes, 43 secondsam I am a designer I do that one the red one side for them now let's go are you
46:5246 minutes, 52 secondsgonna refresh all what the heck
47:0247 minutes, 2 secondsokay yeah seems fine what if the text is
47:0747 minutes, 7 secondsvery long we shall find out rips in the
47:1347 minutes, 13 secondsduct on grab a couple paragraphs of this
47:2747 minutes, 27 secondsthere you go okay yeah that's not what
47:4047 minutes, 40 secondswe want how do we get the heights I don't
47:4847 minutes, 48 seconds[Applause]
47:5847 minutes, 58 secondslet's see if that works hmm I shouldn't go out that far she got it all but hmm
48:0748 minutes, 7 secondsthat is weird yeah that's sweet hmm the
48:1748 minutes, 17 secondsrapper category search-wrapper has a max with okay so what about this one
48:2448 minutes, 24 secondsthe main search container has nothing oh okay yeah see I thought it was similarly
48:3148 minutes, 31 secondsstyling yeah no but I just like put it on grab that and paste that here fix the
48:3948 minutes, 39 secondsother one is wrong which other umm where you had max with originally should be a
48:4748 minutes, 47 secondshundred percent all right was it nice
48:4948 minutes, 49 secondsdisbander outer container no it's fine I
49:0649 minutes, 6 secondsthink you should probably honestly like truncate past a certain point with multi-line concave not the easiest
49:1449 minutes, 14 secondswell screw it it's fine it's fine it's not did you want to get this thing by
49:1949 minutes, 19 secondsChristmas or not okay wait what info are
49:2949 minutes, 29 secondshere okay so chapters and then inside of chapters as we do ID and title right yep
49:3749 minutes, 37 secondssounds good to me so then we do chapters are the title and
49:4449 minutes, 44 secondsthen we go here and we do and design this design listen in freaking out
49:5449 minutes, 54 secondsdesign man I don't even know what to say
50:0550 minutes, 5 secondsokay grab that and then we use list here okay and then the size is small no head on therefore so I bought it is fine
50:1350 minutes, 13 secondsrendered item data and started on main driver in photo chapters and then this is chapter reverse you need a reverse
50:2550 minutes, 25 secondswait that's all good it's fine okay
50:3450 minutes, 34 secondschaps are okay okay let's go come on
50:4650 minutes, 46 secondsokay no not right not right I think this list should be underneath
50:5450 minutes, 54 secondsha the description polite he should span the width of the container because when your description longer it's just gonna
51:0251 minutes, 2 secondslook what are you talking about like do you want to use most real estate like [ __ ] expand a bit should I spend like
51:1151 minutes, 11 secondsshould be under the image I should have be on the right I'll say I'm just
51:1951 minutes, 19 secondsthinking maybe we have a little bit more room to like play with like maybe we can have book my icons or something on the right hand side it's fine but when I -
51:2851 minutes, 28 secondssighs that's for sure you should drop the bunt sighs it's so small this is this is your fault man Jackie yeah because they're using
51:3751 minutes, 37 secondsfreaking ant design oh my god and design
51:4151 minutes, 41 secondsis mine okay why is the font size so
51:5151 minutes, 51 secondsmuch like this a little bit bigger toy with different size oil orange okay and this thing font size
52:0052 minuteswhat is it - mmm 21 pixels goodness me
52:0752 minutes, 7 secondsokay yeah I see what you've done no
52:1452 minutes, 14 secondswhat's the class I'm here at this - no this is your fault
52:2552 minutes, 25 secondsno give me a better solution go on please at least a variable at the
52:3152 minutes, 31 secondstop how's that gonna help it's gonna help so scaled at least I
52:3852 minutes, 38 secondsseen Harold you know it might not inherit the point 9 yeah whatever this
52:5052 minutes, 50 secondsis my run because there are parent elements on top of it that define the constant right yeah yeah can we put the
52:5852 minutes, 58 secondschapter number at the front as well so I hashtag index yeah and can we like um
53:0653 minutes, 6 secondspad the index with something what do you mean like you don't want one right you
53:1353 minutes, 13 secondswant this is everyone yeah but when there's more than 10 it's gonna look ugly oh all you want to do that
53:2353 minutes, 23 secondswell you either padded or you just make sure it aligns like the name should align all right time for some big brain
53:3153 minutes, 31 secondspadding logic yeah they rate you need to so doc had start I start at the end
53:4153 minutes, 41 secondswhich one is the first first one in length okay so the length is going to be da da da Wanga employed of chapters dot
53:5053 minutes, 50 secondsLen not two strings on then and then we've had zero yeah all right yeah yeah
54:0154 minutes, 1 secondor you can write so this one's gonna be ping all right yeah oh you can technically just I think divide it by
54:0954 minutes, 9 secondssomething oh boy whatever yeah yeah what the heck wait is this
54:2054 minutes, 20 secondssound of order do it is this for real yeah dude we what how wait is it ah why
54:3254 minutes, 32 secondsis there none by la orilla it must meet it already comes in Reverse so we should not read double reverse oh you want the
54:4054 minutes, 40 secondslatest on the top right yeah laters yeah yes so then all right this makes a heart
54:4554 minutes, 45 secondsup then we can't use this right okay
55:0955 minutes, 9 secondsthat's fine great bow must mean you
55:1755 minutes, 17 secondsdivide by zero oh really I read our length minus index let's do
55:2855 minutes, 28 secondsthe index plus 1 right what's wrong with that oh I thought it was a dot map so I was trying to access the array it's not a
55:3755 minutes, 37 secondsdot map okay it's a customer this is my aunt design sucks man my name
55:4455 minutes, 44 secondsconvenience is make life hard
55:5255 minutes, 52 secondsoh one piece come on okay oh the image
56:0056 minutesis broken man it looks like [ __ ] king of the Pirates a house yeah yeah yeah
56:0956 minutes, 9 secondswhatever you should try and came in so don't mom whatever waits havoc found one piece yet
56:1556 minutes, 15 secondsno obviously not cool can we put a hyphen between the number
56:2356 minutes, 23 secondsand the manga Oh No yeah why how come
56:2856 minutes, 28 secondsthat's me yep so what we're gonna do
56:3656 minutes, 36 secondsabout the missing image I mean it's just
56:4656 minutes, 46 secondslike loaded with a placeholder as I'm crying yeah access denied man what the hell
56:5756 minutes, 57 secondslinking to the resource okay wait wait
57:0457 minutes, 4 secondsah what we do I don't know what do we do
57:1157 minutes, 11 secondswhy is it why is it broken it doesn't let us fetch hot directly so what's the
57:2057 minutes, 20 secondssolution but the other one did so right
57:3557 minutes, 35 secondssee if we can okay how to bypass falling
57:4157 minutes, 41 secondsprotection anything couch where oh the
57:4957 minutes, 49 secondsreferral manually 2.0 it's a domain hmm
57:5857 minutes, 58 secondsoh I don't know do whatever doesn't matter dig I fixed the space issue there needs
58:0658 minutes, 6 secondsto be a space after the height that's the safe was amazing was it it wasn't on
58:1458 minutes, 14 secondsthe on your browser I don't want touchpad
58:2358 minutes, 23 secondsI don't oh they'll broken man okay over here is closed yeah it's because you've you done gates once already so occasion
58:3258 minutes, 32 secondsare you browser Oh big brain I wonder if
58:4258 minutes, 42 secondsthere's a way to fetch these the point of an API man you 400 chickens see you fence the image moved out the referral I
58:5158 minutes, 51 secondswonder if it's way to do that see
59:0259 minutes, 2 secondsnice this'll probably work right I don't know man
59:1159 minutes, 11 secondsI don't know there is very head it would not be same it'll work you might have faith
59:1859 minutes, 18 secondshey yeah as a big brain big brain man oh crap yeah it's pretty
59:2559 minutes, 25 secondssmart um wait is that really stress to you yes he is Vinita that's what I was thinking in steins gate was like
59:3259 minutes, 32 secondsstretched as well so you need to do object fit and make sure it's like
59:3659 minutes, 36 secondscontains objects it contain oh no he's
59:5559 minutes, 55 secondsescaped
59:5859 minutes, 58 secondsyeah no but yeah no no it'll work that's
1:00:121 hour, 12 secondsnot how it was right yes oh it's the courts then excuse me
1:00:251 hour, 25 secondssee but it's the it's the codes and the spacing it's not HTML right okay fine
1:00:321 hour, 32 secondsfive your eyes oh wait can you actually you actually do that using that I think sorry
1:00:451 hour, 45 secondswell I think you're wrong maybe it's something else how to do some JavaScript
1:00:541 hour, 54 secondsclick the first link go to stop cloud now it says jQuery man so by putting
1:01:021 hour, 1 minute, 2 secondsthis no no I say that's not a bad bear
1:01:101 hour, 1 minute, 10 secondsan escape function oh oh well it didn't
1:01:341 hour, 1 minute, 34 secondswork no this is it because your quote is wrong there's no way that I'm sure there
1:01:411 hour, 1 minute, 41 secondsis no way that's wrong it's it's yes oh no because it's escaping it as URL
1:01:491 hour, 1 minute, 49 secondscharacters not as HTML entities look that there is a way I know there is a
1:01:551 hour, 1 minute, 55 secondsway it's caught on yo hto hdhp what just
1:02:031 hour, 2 minutes, 3 secondsgive me a second give me a second decoded HTML do I know this way okay HTM ICD code check this out
1:02:131 hour, 2 minutes, 13 secondssorry I think no ah this one okay okay
1:02:221 hour, 2 minutes, 22 secondsgreat so here's the function and all you have to do is install this package okay
1:02:301 hour, 2 minutes, 30 secondsit's actually that that's actually good and then you just like it's alright let's do that yeah yeah okay yeah let's
1:02:381 hour, 2 minutes, 38 secondsdo them I don't want people injecting script tags in develop a security 101
1:02:511 hour, 2 minutes, 51 secondsI mean you're not wrong I'll give you that
1:02:571 hour, 2 minutes, 57 secondsthank you thank you I'm not wrong
1:03:021 hour, 3 minutes, 2 secondsthey're fun right yeah cool
1:03:111 hour, 3 minutes, 11 secondsdon't you need the other function or the it is the MPM enough is the npm does it
1:03:181 hour, 3 minutes, 18 secondsis the NPM enough always the other function what other youngest 100 so this
1:03:251 hour, 3 minutes, 25 secondsis the no HDFC's is the one that goes because the only name I remembered was H no entities from what I used to do here is P but there's one that goes the other
1:03:321 hour, 3 minutes, 32 secondsway which is this one so that's the Inc oh yeah okay cool man if he's so dodgy
1:03:391 hour, 3 minutes, 39 secondsdude like it has like a thousand global functions I'm not even kidding and there's no consumer fee you saw there like HDFC's right is written like
1:03:481 hour, 3 minutes, 48 secondsthis like no spaces no cats nothing like nothing right but then HTML underscore
1:03:531 hour, 3 minutes, 53 secondsentity under Scooby code I think the thing of HP's it's not actually that bad
1:04:021 hour, 4 minutes, 2 secondsa language but the in she works but the issue is that if you use PHP and you're bad it makes it really easy for you to
1:04:091 hour, 4 minutes, 9 secondswrite bad code like you know so easily I don't think that's PHP and Jenny yeah like it's just it lets you be bad if I
1:04:181 hour, 4 minutes, 18 secondsthink is that cool anyway now we watch me that's an hour and I still can't read my mind you're so close though we're so close
1:04:261 hour, 4 minutes, 26 secondsfor images can you just make the page you just just just link it through the page and then to render the images man okay thank you
1:04:331 hour, 4 minutes, 33 secondsand then so I can at least start using the damn thing so we grab satellite cycle it's working we need to celebrate
1:04:461 hour, 4 minutes, 46 secondsI'm not celebrating anything man Valentine's Day I'll celebrate my loneliness
1:04:571 hour, 4 minutes, 57 secondsI mean you can celebrate with your computer you can celebrate Apple just walking it's not looking at max that's
1:05:061 hour, 5 minutes, 6 secondsgood oh that's actually really cool I'm not gonna lie I like that ah it's refer a policy with the capital P makes sense yeah we'll get some friggin we act
1:05:161 hour, 5 minutes, 16 secondsand then Oh what I'll tell you that a lot lingo whoops I meant to use the manga the title yeah and can be like
1:05:251 hour, 5 minutes, 25 secondsdeconstruct maybe some of this stuff it's so so long is it yeah
1:05:321 hour, 5 minutes, 32 secondswhat do you mean deconstruct oh so I'm
1:05:471 hour, 5 minutes, 47 secondsgetting a dog see I tell you that oh nice
1:05:531 hour, 5 minutes, 53 secondsokay yeah we have the links and they take us is the one punch man page okay
1:06:011 hour, 6 minutes, 1 secondwell what do you wanna do now do you wanna show the actual images or call it a day
1:06:081 hour, 6 minutes, 8 secondsyeah just render the images okay cuz then I can actually use it right because we have this and when you click it it
1:06:151 hour, 6 minutes, 15 secondstakes us to this page but we can make it go to the other page yeah how you just rent out the images you know list these
1:06:221 hour, 6 minutes, 22 secondsI can use it we can do with the infinite scrolling stuff next time man we make so
1:06:291 hour, 6 minutes, 29 secondsmuch progress today I feel so so proud yeah yeah well it's 10 10 episodes of
1:06:351 hour, 6 minutes, 35 secondsbrown one episode on actually zombie yeah
1:06:421 hour, 6 minutes, 42 secondsmake a chop saw that and then you need the index
1:07:021 hour, 7 minutes, 2 secondswaitwhat no should be indexed or just ID I see
1:07:131 hour, 7 minutes, 13 secondsthe idea that's the idea man
1:07:231 hour, 7 minutes, 23 secondshi Dean
1:07:331 hour, 7 minutes, 33 secondsokay that gets us live on one but we can do isn't here change this to be like
1:07:401 hour, 7 minutes, 40 secondsthat okay cool hey isn't the thing like this is 24 so
1:07:511 hour, 7 minutes, 51 secondswe do the same thing you'll grab that and we paste that here us and this is capped IV and then we take the chaps IV
1:08:021 hour, 8 minutes, 2 secondsfrom params and then we go to here grab
1:08:111 hour, 8 minutes, 11 secondsthe query put that there grab this go here paste that we drew
1:08:161 hour, 8 minutes, 16 secondsmanga chapter chapter IV and then we
1:08:221 hour, 8 minutes, 22 secondsgrab the ID and what else the images hi you are with please grab that paste that
1:08:301 hour, 8 minutes, 30 secondsthere do this do that we have manga chapter we haven't built an English chapter yet so we have to go into services and we have to go to query
1:08:381 hour, 8 minutes, 38 secondsand we have to copy manga and do then you guys pops up and we do index and it
1:08:461 hour, 8 minutes, 46 secondsis fun to make a chapter and we do thank God chapter resolver and then what do we
1:08:541 hour, 8 minutes, 54 secondsdo now we grab the chapter from the the thing so we grabbed it from fetch chapter info Oh
1:09:021 hour, 9 minutes, 2 secondsfetch chapter images oh wait a second that's not good
1:09:111 hour, 9 minutes, 11 secondsis it hmm oh I think these are so going out is just to return this inside me
1:09:181 hour, 9 minutes, 18 secondsjust return that but then for the actual chapter inside we can fetch the images so we don't know this we have the ID the ID can use here you can fetch the
1:09:271 hour, 9 minutes, 27 secondschapter ID so we should be able to go into here add that in so then go chapter
1:09:381 hour, 9 minutes, 38 secondslike so and we have all we have this stuff as well ah I can't be bothered to fetch that right now wait wait a second can't fetch
1:09:471 hour, 9 minutes, 47 secondsit oh is it just chapter of course that's
1:09:521 hour, 9 minutes, 52 secondsit like that okay chapter cup sit there
1:09:591 hour, 9 minutes, 59 secondsdo that and then we got this year has images how look at mango sauce we have
1:10:061 hour, 10 minutes, 6 secondsfetch mango info oh well we got let's
1:10:151 hour, 10 minutes, 15 secondshave the images own way first chapter images the issue is that okay so for a
1:10:261 hour, 10 minutes, 26 secondschapter the only thing we have is the images so we don't actually have the shopsite information anyway whatever this should work
1:10:321 hour, 10 minutes, 32 secondsum yeah you don't need refresh do that
1:10:381 hour, 10 minutes, 38 secondsgrab this one grab that chapter IV got that any should work images ID URL
1:10:471 hour, 10 minutes, 47 secondsstreet fine come on yeah okay cool so now what we do is on this page here mango details sorry
1:10:571 hour, 10 minutes, 57 secondschapter when you do is not soon chapter IV images okay cool and then we do
1:11:031 hour, 11 minutes, 3 secondschapter ID here on start are loading equals use query query looks very and
1:11:111 hour, 11 minutes, 11 secondsthen variables and then taps ID pasta in man I am on fire today and then if learning
1:11:201 hour, 11 minutes, 20 secondsFinn can you sing to this no no no man I
1:11:281 hour, 11 minutes, 28 secondswant to go have lunch dude okay yeah yeah I only do not carry the ball yeah no I think I'm here is Lori enough
1:11:371 hour, 11 minutes, 37 secondsof you know grab people thing up anyway so I think in this section we probably don't want to repeat like this is quite
1:11:431 hour, 11 minutes, 43 secondsreview yes just think of it as payback for next video I basically got is probably image that's up there
1:11:521 hour, 11 minutes, 52 secondsthere's so much to do no basically done for today yeah come on man today as soon as it yeah we're done for today yes yes
1:12:001 hour, 12 minutesa lot it works please as soon as we sent to the spinner
1:12:071 hour, 12 minutes, 7 secondsno list of priorities is so messed up you use a D and like global less and
1:12:161 hour, 12 minutes, 16 secondsAkiko it's not part of the code attack you man all of it
1:12:241 hour, 12 minutes, 24 secondswell part of the code is happy yes yes grab this do that okay come on come on
1:12:311 hour, 12 minutes, 31 secondscome on sure yeah hey backwards order
1:12:381 hour, 12 minutes, 38 secondsyeah they are wait actually are they out yeah always stays in at the top just
1:12:451 hour, 12 minutes, 45 secondsread this oh okay yeah they're alright well can we like center black dark black
1:12:551 hour, 12 minutes, 55 secondsdark grey background and then Saturday all right I can do that yeah
1:13:051 hour, 13 minutes, 5 secondshey guys dr. ed not black yeah that's that how dark - yeah just
1:13:161 hour, 13 minutes, 16 secondsthe darkest coke renders in an iPhone okay come on come on come on iYou says
1:13:251 hour, 13 minutes, 25 secondswell you spelled it wrong I did it's both our own brain and Center they meet in this place it was nothing music sees
1:13:361 hour, 13 minutes, 36 secondslove Peter not so nice in Sao Paulo me
1:13:501 hour, 13 minutes, 50 secondsthank you
1:14:011 hour, 14 minutes, 1 secondcome on come on come on come on where are you it's not good okay oh no
1:14:111 hour, 14 minutes, 11 secondsthis one is a double yes oh yeah you did economy should be right right no it is
1:14:181 hour, 14 minutes, 18 secondshollow all I haven't use in my bed wait what oh wait no no no anyway that's fine
1:14:281 hour, 14 minutes, 28 secondsoh sure is : it's column man it goes in a column of flows in a column but the
1:14:351 hour, 14 minutes, 35 secondsFlex the Flex direction should be so it is the one killing in percent column now yeah flex Lloyd's basically Direction
1:14:441 hour, 14 minutes, 44 secondsplus wrap yeah well something is wrong dude something is wrong dude I don't wanna
1:14:531 hour, 14 minutes, 53 secondsread my mail like this you can play too much man oh yeah
1:15:021 hour, 15 minutes, 2 secondsdidn't say or something disappointing it
1:15:091 hour, 15 minutes, 9 secondslike disappointing okay okay nice yes sir why is the background not black
1:15:161 hour, 15 minutes, 16 secondsbecause something does the image size oh no man it looks like we need to fix
1:15:231 hour, 15 minutes, 23 secondsmax max width of the image to p90 VW or something yeah the gray background
1:15:341 hour, 15 minutes, 34 secondsstopped way too early and stop like here oh yeah yeah cuz your images are flowing
1:15:421 hour, 15 minutes, 42 secondsout I think yeah height:auto
1:15:501 hour, 15 minutes, 50 secondsNo
1:15:531 hour, 15 minutes, 53 secondswell I am why does this happen back here
1:16:041 hour, 16 minutes, 4 secondsis this way too strong anything but there yeah yeah why is there a horizontal scroll yeah it's fine we'll
1:16:121 hour, 16 minutes, 12 secondsfix it later so why is there horizontal scroll all because one of the images that we do Thank You Man TV 90 we want
1:16:191 hour, 16 minutes, 19 secondsto see some blackboard thank you cool
1:16:301 hour, 16 minutes, 30 secondsthanks I can read my manga now sort of I'll actually use this legit I try to and then if it's not as good as just going
1:16:381 hour, 16 minutes, 38 secondsto mangai then we need to fix it oh no
1:16:441 hour, 16 minutes, 44 secondsmy your scroll by yeah okay my computer's Monday it's not it's not the
1:16:531 hour, 16 minutes, 53 secondswebpage they can actually I know perfect this is undoing because every day but I don't know why am I like things stopping
1:17:011 hour, 17 minutes, 1 secondthere it's fine I'll push it and fix it wait what oh it's on a par with under
1:17:101 hour, 17 minutes, 10 seconds1000 because it was there yeah was just with order come on Khan growling man what are you
1:17:201 hour, 17 minutes, 20 secondseating I don't know anymore I just grabbed something for the fridge probably yeah
1:17:281 hour, 17 minutes, 28 secondswell I'm gonna say it moments is expensive wasn't sure if it sucks that's it it's all worth it yeah okay it looks good you know besides the computer
1:17:361 hour, 17 minutes, 36 secondslagging on my screen but Milan might not so it's fine good okay yeah yeah yeah
1:17:441 hour, 17 minutes, 44 secondsI'll send to the spinner for you goodness oh thank you so much okay I was like an hour 20 minutes but guys thank you so much for following along I hope you enjoyed it
1:17:521 hour, 17 minutes, 52 secondsI'm tired man yeah we got something you know we made like yeah honestly I think we made more progress in this video than
1:18:001 hour, 18 minuteswe did in last combined like in terms of code but yeah well it's closing is guys the last 10 minutes it's just like we're not doing
1:18:091 hour, 18 minutes, 9 secondsthe video it is Cody that's it that's good that's good yeah guys thank you so much for following it along this has been Lucas and Patrick from better
1:18:181 hour, 18 minutes, 18 secondscoding Academy and yes I mean what I did alright well see you guys later later bye bye yeah my boy
